iter	RMSE
0	0.8434914494
1	0.8182388027
2	0.7953320577
3	0.7717393039
4	0.753726984
5	0.7330492692
6	0.7138927122
7	0.6955740076
8	0.677969328
9	0.6637296229
10	0.6497788865
11	0.6360806846
12	0.622677646
13	0.6108922199
14	0.5997199791
15	0.5884347851
16	0.577866268
17	0.5680258123
18	0.5581888344
19	0.5495479502
20	0.5415508661
21	0.5342464977
22	0.5274659208
23	0.5202882557
24	0.5142643233
25	0.5086501324
26	0.503452804
27	0.4979925344
28	0.4931169003
29	0.4885427512
30	0.4842042995
31	0.4798048858
32	0.4760137729
33	0.4724763296
34	0.4684448815
35	0.4649186782
36	0.4611255444
37	0.4580604685
38	0.4550541499
39	0.4520438958
40	0.4492590405
41	0.4463867284
42	0.4438685045
43	0.4413118711
44	0.4392980681
45	0.4371032535
46	0.435228566
47	0.433376533
48	0.4315113525
49	0.4297832245
50	0.4281932266
51	0.4266915539
52	0.4252215242
53	0.4238205207
54	0.4227783617
55	0.4216434612
56	0.4203309017
57	0.4190910056
58	0.4178964872
59	0.4167930192
60	0.4157461159
61	0.4143515244
62	0.4132220469
63	0.4122080513
64	0.4113102053
65	0.4103575421
66	0.4095734351
67	0.408628138
68	0.4076771747
69	0.4067661468
70	0.4058967532
71	0.4051457326
72	0.4044471827
73	0.4036273109
74	0.4030326753
75	0.4023008938
76	0.401572129
77	0.4009366415
78	0.4002173065
79	0.3995476455
80	0.3990822616
81	0.3982677594
82	0.3977886425
83	0.3972284877
84	0.3964196824
85	0.3960150718
86	0.3954605261
87	0.3948614066
88	0.3941643632
89	0.3937258967
90	0.3932121763
91	0.3926538957
92	0.3919345088
93	0.391383815
94	0.3905397305
95	0.3900744784
96	0.3897497155
97	0.3894147754
98	0.3889859893
99	0.3885557137
100	0.3882131962
101	0.3878686741
102	0.3874021661
103	0.386912656
104	0.3863610052
105	0.3858824056
106	0.385503298
107	0.3852055141
108	0.3848910643
109	0.3844997185
110	0.3841773732
111	0.3837511046
112	0.3833880382
113	0.3830105707
114	0.3827015642
115	0.3824789107
116	0.382126717
117	0.3816829886
118	0.3813376931
119	0.3809833668
120	0.3803261639
121	0.3799943034
122	0.3797382641
123	0.3795017413
124	0.3792245053
125	0.3789707856
126	0.3785744937
127	0.378269944
128	0.3780632869
129	0.3778106576
130	0.3774627275
131	0.3771088997
132	0.3769057823
133	0.3765956825
134	0.3763632043
135	0.3758384306
136	0.3753229302
137	0.3749320499
138	0.3745935767
139	0.3743195236
140	0.3739874214
141	0.3736659803
142	0.373253725
143	0.3728474734
144	0.3725161564
145	0.3721426358
146	0.3717863902
147	0.3715558727
148	0.3712961599
149	0.3709283422
150	0.3705668884
151	0.3703716903
152	0.3699285272
153	0.3696392613
154	0.3693848867
155	0.3690571255
156	0.3686736347
157	0.368332941
158	0.3681156875
159	0.367858664
160	0.3676047285
161	0.3673486094
162	0.3670893935
163	0.3668857426
164	0.3665779221
165	0.3660652811
166	0.3652496776
167	0.3649992338
168	0.3647863166
169	0.3645057256
170	0.3643863998
171	0.3639950034
172	0.3636432822
173	0.3633665612
174	0.3629394326
175	0.3625813926
176	0.3622278078
177	0.3619560749
178	0.3617480019
179	0.3615330574
180	0.3610448555
181	0.3607880767
182	0.3604365743
183	0.3601222525
184	0.3598786487
185	0.359595201
186	0.3594723444
187	0.3591854297
188	0.3589915892
189	0.3586671059
190	0.3584028206
191	0.3581432791
192	0.3579529248
193	0.3578714237
194	0.3575539107
195	0.3573481536
196	0.3571542438
197	0.3569451128
198	0.356809992
199	0.3565918114
200	0.3562448609
201	0.3559187972
202	0.35559171
203	0.3554658569
204	0.3550569508
205	0.3548787441
206	0.354704727
207	0.354315701
208	0.3540785738
209	0.353719875
210	0.3534837915
211	0.3533227007
212	0.35306058
213	0.3528624199
214	0.3526748584
215	0.3524979673
216	0.3521548007
217	0.3519390984
218	0.351762764
219	0.3517041568
220	0.3514428085
221	0.3513006447
222	0.3509086439
223	0.3506397348
224	0.3503589825
225	0.3502255182
226	0.3499038736
227	0.3497256909
228	0.3494824182
229	0.3491215744
230	0.3488488943
231	0.3486210791
232	0.3484249303
233	0.3480518618
234	0.3478384222
235	0.3475968415
236	0.3473680983
237	0.3472002408
238	0.3470956153
239	0.3469076916
240	0.3468111112
241	0.3465569353
242	0.3463602871
243	0.3461770989
244	0.3458270926
245	0.3456554034
246	0.3454189375
247	0.3450527634
248	0.3448769434
