iter	Passed	Remaining
0	1	1101
1	2	1070
2	3	1094
3	4	1080
4	5	1011
5	6	1020
6	7	1056
7	8	1074
8	9	1072
9	10	1066
10	13	1210
11	14	1217
12	15	1212
13	17	1203
14	18	1202
15	19	1199
16	20	1188
17	21	1181
18	22	1168
19	23	1155
20	24	1145
21	25	1148
22	26	1141
23	28	1152
24	29	1167
25	31	1165
26	32	1164
27	33	1159
28	34	1155
29	35	1146
30	36	1138
31	37	1130
32	38	1123
33	39	1116
34	40	1109
35	41	1102
36	42	1095
37	43	1095
38	44	1106
39	46	1109
40	47	1105
41	48	1103
42	49	1101
43	50	1099
44	51	1094
45	52	1089
46	53	1083
47	54	1078
48	55	1074
49	56	1069
50	57	1066
51	58	1066
52	60	1072
53	61	1073
54	62	1074
55	63	1070
56	64	1067
57	65	1066
58	66	1061
59	67	1057
60	68	1053
61	69	1049
62	70	1049
63	71	1046
64	72	1047
65	73	1046
66	75	1048
67	76	1049
68	77	1049
69	79	1050
70	80	1048
71	81	1050
72	82	1052
73	84	1053
74	85	1052
75	86	1050
76	87	1046
77	88	1043
78	89	1046
79	91	1053
80	92	1052
81	93	1049
82	94	1047
83	95	1043
84	96	1040
85	97	1037
86	98	1034
87	99	1031
88	100	1028
89	101	1025
90	102	1022
91	103	1019
92	104	1023
93	106	1026
94	107	1026
95	108	1025
96	109	1023
97	110	1021
98	111	1018
99	112	1015
100	113	1012
101	114	1011
102	115	1009
103	116	1006
104	117	1003
105	118	1001
106	119	999
107	121	1003
108	122	1004
109	123	1002
110	124	1000
111	126	999
112	127	998
113	128	996
114	129	994
115	130	992
116	131	989
117	132	987
118	133	984
119	133	982
120	134	980
121	137	991
122	138	990
123	140	989
124	141	987
125	142	986
126	143	985
127	144	983
128	145	981
129	146	979
130	147	977
131	148	974
132	149	972
133	150	971
134	151	973
135	153	974
136	154	973
137	155	971
138	156	969
139	157	968
140	158	967
141	159	965
142	160	963
143	161	961
144	162	958
145	163	956
146	164	954
147	165	951
148	166	950
149	168	954
150	169	954
151	170	953
152	172	952
153	173	955
154	175	957
155	177	957
156	178	956
157	179	955
158	180	953
159	181	951
160	182	952
161	184	953
162	185	952
163	186	951
164	187	950
165	188	948
166	189	946
167	190	944
168	191	943
169	192	941
170	194	942
171	195	941
172	196	939
173	198	941
174	199	942
175	200	939
176	202	939
177	203	939
178	204	938
179	205	937
180	206	935
181	207	934
182	208	932
183	209	930
184	210	928
185	211	926
186	212	925
187	214	926
188	216	927
189	217	925
190	218	923
191	219	922
192	220	920
193	220	917
194	221	915
195	222	913
196	223	911
197	224	909
198	225	907
199	226	905
200	227	904
201	228	903
202	230	906
203	232	905
204	233	904
205	234	902
206	235	901
207	236	899
208	237	897
209	238	896
210	239	894
211	240	892
212	240	890
213	241	888
214	242	886
215	244	887
216	246	888
217	247	887
218	248	886
219	249	885
220	250	883
221	251	881
222	252	881
223	253	879
224	254	877
225	255	875
226	256	873
227	257	872
228	258	870
229	259	869
230	261	870
231	262	870
232	264	869
233	265	868
234	266	866
235	267	865
236	268	865
237	269	864
238	271	863
239	272	862
240	273	861
241	274	861
242	276	861
243	277	860
244	278	859
245	280	858
246	281	857
247	282	855
248	283	854
249	284	852
250	285	851
251	286	849
252	287	848
253	288	846
254	289	844
255	290	843
256	292	846
257	293	845
258	295	844
259	296	842
260	297	841
261	298	840
262	299	838
263	300	836
264	301	834
265	301	833
266	302	831
267	303	829
268	304	828
269	305	826
270	308	829
